date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:35:29	117/117	---M--	200	added ('OK')	text/plain	date:Wed,%2003%20May%202023%2001:35:27%20GMT	http://hand-bouqet-.test/robots.txt		(from )
08:36:08	694623/694623	---MC-	200	added ('OK')	text/html	date:Wed,%2003%20May%202023%2001:35:27%20GMT	http://hand-bouqet-.test/	D:/Bouquet%20Flower/hand-bouqet-.test/index.html	(from )
08:36:12	721/721	---M--	200	added ('OK')	application/rss+xml	etag:%22d8dfcd6cccefd61a22b34570b706cc84%22	http://hand-bouqet-.test/comments/feed	D:/Bouquet%20Flower/hand-bouqet-.test/comments/feed	(from http://hand-bouqet-.test/)
08:36:12	41482/41482	---M--	200	added ('OK')	text/css	etag:%22a20a-5f97de689877b%22	http://hand-bouqet-.test/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.1.3	D:/Bouquet%20Flower/hand-bouqet-.test/wp-content/themes/astra/assets/css/minified/main.mina352.css	(from http://hand-bouqet-.test/)
08:36:14	97517/97517	---M--	200	added ('OK')	text/css	etag:%2217ced-5f680c224ed40%22	http://hand-bouqet-.test/wp-includes/css/dist/block-library/style.min.css?ver=6.2	D:/Bouquet%20Flower/hand-bouqet-.test/wp-includes/css/dist/block-library/style.minae48.css	(from http://hand-bouqet-.test/)
08:36:16	81413/81413	---M--	200	added ('OK')	text/css	etag:%2213e05-5f97df137e6e8%22	http://hand-bouqet-.test/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.12.1	D:/Bouquet%20Flower/hand-bouqet-.test/wp-content/plugins/elementor/assets/css/frontend-lite.minfb6f.css	(from http://hand-bouqet-.test/)
08:36:18	3509/3509	---M--	200	added ('OK')	text/css	etag:%22db5-5f9924fa9830c%22	http://hand-bouqet-.test/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css?ver=5.7.1	D:/Bouquet%20Flower/hand-bouqet-.test/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.mina78f.css	(from http://hand-bouqet-.test/)
08:36:18	133079/133079	---M--	200	added ('OK')	text/css	etag:%22207d7-5f99289bab7c8%22	http://hand-bouqet-.test/wp-content/uploads/essential-addons-elementor/eael-1448.css?ver=1681796565	D:/Bouquet%20Flower/hand-bouqet-.test/wp-content/uploads/essential-addons-elementor/eael-14486830.css	(from http://hand-bouqet-.test/)
08:36:20	19363/19363	---M--	200	added ('OK')	text/css	etag:%224ba3-5f97df13e86fe%22	http://hand-bouqet-.test/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.18.0	D:/Bouquet%20Flower/hand-bouqet-.test/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min3b94.css	(from http://hand-bouqet-.test/)
08:36:21	699/699	---M--	200	added ('OK')	image/svg+xml	etag:%222bb-5f9924fa7daba%22	http://hand-bouqet-.test/wp-content/plugins/essential-addons-for-elementor-lite/assets/admin/images/templately/logo-icon.svg	D:/Bouquet%20Flower/hand-bouqet-.test/wp-content/plugins/essential-addons-for-elementor-lite/assets/admin/images/templately/logo-icon.svg	(from http://hand-bouqet-.test/)
08:36:21	16471/16471	---M--	200	added ('OK')	text/css	etag:%224057-5f97df14060a7%22	http://hand-bouqet-.test/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	D:/Bouquet%20Flower/hand-bouqet-.test/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from http://hand-bouqet-.test/)
08:36:21	1102/1102	---M--	200	added ('OK')	text/css	etag:%2244e-5f99318224d98%22	http://hand-bouqet-.test/wp-content/uploads/elementor/css/post-1659.css?ver=1681785043	D:/Bouquet%20Flower/hand-bouqet-.test/wp-content/uploads/elementor/css/post-1659b0e6.css	(from http://hand-bouqet-.test/)
08:36:22	59344/59344	---M--	200	added ('OK')	text/css	etag:%22e7d0-5f97df13ee6bf%22	http://hand-bouqet-.test/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.12.1	D:/Bouquet%20Flower/hand-bouqet-.test/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.minfb6f.css	(from http://hand-bouqet-.test/)
08:36:23	26702/26702	---M--	200	added ('OK')	text/css	etag:%22684e-5f97df13f0aa2%22	http://hand-bouqet-.test/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.12.1	D:/Bouquet%20Flower/hand-bouqet-.test/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.minfb6f.css	(from http://hand-bouqet-.test/)
08:36:23	12929/12929	---M--	200	added ('OK')	text/css	etag:%223281-5f995c70aa567%22	http://hand-bouqet-.test/wp-content/uploads/elementor/css/post-1448.css?ver=1681796568	D:/Bouquet%20Flower/hand-bouqet-.test/wp-content/uploads/elementor/css/post-1448cd64.css	(from http://hand-bouqet-.test/)
08:36:24	57912/57912	---M--	200	added ('OK')	text/css	etag:%22e238-5f97df13ef9c1%22	http://hand-bouqet-.test/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	D:/Bouquet%20Flower/hand-bouqet-.test/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from http://hand-bouqet-.test/)
08:36:26	669/669	---M--	200	added ('OK')	text/css	etag:%2229d-5f97df13f060f%22	http://hand-bouqet-.test/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	D:/Bouquet%20Flower/hand-bouqet-.test/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from http://hand-bouqet-.test/)
